audio_id	audio_name	genre_id	user_id	genre_name	audio_count
13	nhactest1	1	fbe1519f-caf6-488b-bc3b-86eaad4534ad	Meditation	55
13	nhactest1	1	67ccf3ac-3fef-44d4-921b-a6362884ee23	Meditation	42
13	nhactest1	1	fbe1519f-caf6-488b-bc3b-86eaad4534ad	Meditation	39
13	nhactest1	1	fbe1519f-caf6-488b-bc3b-86eaad4534ad	Meditation	88
13	nhactest1	1	7b6f8e1f-af45-47c7-8ea2-575a6165904f	Meditation	4
13	nhactest1	1	8543829d-0ab0-4d9a-acc8-be4583ab9f5a	Meditation	48
13	nhactest1	1	48e0ba21-dca9-4437-8bea-935371a8e178	Meditation	77
13	nhactest1	1	fd705857-b301-44c9-b24c-496c8339ff70	Meditation	9
13	nhactest1	1	7b6f8e1f-af45-47c7-8ea2-575a6165904f	Meditation	84
13	nhactest1	1	2fa26169-bc0f-411d-9b49-05a7feb14e35	Meditation	87
13	nhactest1	1	48e0ba21-dca9-4437-8bea-935371a8e178	Meditation	95
13	nhactest1	1	48e0ba21-dca9-4437-8bea-935371a8e178	Meditation	4
13	nhactest1	1	7b6f8e1f-af45-47c7-8ea2-575a6165904f	Meditation	1
13	nhactest1	1	8543829d-0ab0-4d9a-acc8-be4583ab9f5a	Meditation	8
13	nhactest1	1	0abed3f9-e4c1-49fc-96a8-458f8374cc1f	Meditation	46
13	nhactest1	1	7b6f8e1f-af45-47c7-8ea2-575a6165904f	Meditation	25
13	nhactest1	1	32725917-b821-48d6-97c6-16b123b905bd	Meditation	48
13	nhactest1	1	fbe1519f-caf6-488b-bc3b-86eaad4534ad	Meditation	2
13	nhactest1	1	fd705857-b301-44c9-b24c-496c8339ff70	Meditation	80
13	nhactest1	1	32725917-b821-48d6-97c6-16b123b905bd	Meditation	82
13	nhactest1	1	7b6f8e1f-af45-47c7-8ea2-575a6165904f	Meditation	90
13	nhactest1	1	fbe1519f-caf6-488b-bc3b-86eaad4534ad	Meditation	39
13	nhactest1	1	0abed3f9-e4c1-49fc-96a8-458f8374cc1f	Meditation	36
