audio_id	user_id	audio_name	count
116	fbe1519f-caf6-488b-bc3b-86eaad4534ad	Calming Flute	1
116	e1924e41-3205-49ef-955f-3e75d9baf897	Calming Flute	87
116	1a73a1ce-a310-47c3-8134-f35f67fd8dd8	Calming Flute	82
116	a379200e-4cb1-4d04-a30f-2b36660f1572	Calming Flute	50
116	fbe1519f-caf6-488b-bc3b-86eaad4534ad	Calming Flute	61
116	0dc689f7-984a-4f4e-9475-f27f720b23d9	Calming Flute	19
116	037513a0-605c-45fb-ae06-8f76f1034fb6	Calming Flute	11
116	4b653302-bcbc-4a8e-ae1d-5df40d2df6ae	Calming Flute	61
116	ba0ca2ea-052a-4fc8-b30d-8b16a91bf1cd	Calming Flute	52
116	ba0ca2ea-052a-4fc8-b30d-8b16a91bf1cd	Calming Flute	52
116	f820588b-9829-4502-a96d-fc520862aac2	Calming Flute	4
116	4a5bb9b8-62c1-4583-90bd-d496d0bb7345	Calming Flute	86
117	e1924e41-3205-49ef-955f-3e75d9baf897	Relaxing Flute	58
117	0abed3f9-e4c1-49fc-96a8-458f8374cc1f	Relaxing Flute	8
117	8543829d-0ab0-4d9a-acc8-be4583ab9f5a	Relaxing Flute	99
117	f62f762c-f5fa-416c-9ee0-e0ef880e0ab6	Relaxing Flute	74
117	49722cd1-23d4-459a-9555-2ba4b1bead37	Relaxing Flute	97
117	f820588b-9829-4502-a96d-fc520862aac2	Relaxing Flute	13
117	2fa26169-bc0f-411d-9b49-05a7feb14e35	Relaxing Flute	2
117	67ccf3ac-3fef-44d4-921b-a6362884ee23	Relaxing Flute	87
117	0dc689f7-984a-4f4e-9475-f27f720b23d9	Relaxing Flute	97
117	2fa26169-bc0f-411d-9b49-05a7feb14e35	Relaxing Flute	1
117	fe21a6a0-9772-4f01-b06d-f67e2c09ce10	Relaxing Flute	60
117	1a73a1ce-a310-47c3-8134-f35f67fd8dd8	Relaxing Flute	64
117	93915a50-5c23-4dd7-a1c2-28325e05f065	Relaxing Flute	8
117	752178c5-1bbe-4b2e-88d8-94ff0308c39c	Relaxing Flute	1
118	62ee028a-be5e-44e6-a6be-f3c13382cd36	Indian Flute	69
118	2fa26169-bc0f-411d-9b49-05a7feb14e35	Indian Flute	73
118	2fa26169-bc0f-411d-9b49-05a7feb14e35	Indian Flute	48
118	67ccf3ac-3fef-44d4-921b-a6362884ee23	Indian Flute	67
118	1a73a1ce-a310-47c3-8134-f35f67fd8dd8	Indian Flute	17
118	67ccf3ac-3fef-44d4-921b-a6362884ee23	Indian Flute	7
118	2fa26169-bc0f-411d-9b49-05a7feb14e35	Indian Flute	77
118	0abed3f9-e4c1-49fc-96a8-458f8374cc1f	Indian Flute	48
118	4b653302-bcbc-4a8e-ae1d-5df40d2df6ae	Indian Flute	27
118	f80ccdf9-c952-408c-b94f-5b5e18addb31	Indian Flute	76
118	62ee028a-be5e-44e6-a6be-f3c13382cd36	Indian Flute	22
118	fd705857-b301-44c9-b24c-496c8339ff70	Indian Flute	8
118	49722cd1-23d4-459a-9555-2ba4b1bead37	Indian Flute	68
119	78e115c9-a435-4c93-b050-aee7fcddf37e	Tibetan Singing	3
119	50fd6521-174d-4231-b075-b9c6d6f9c533	Tibetan Singing	73
119	ec7fd809-f008-43f9-b696-8e595fdee429	Tibetan Singing	91
119	ec7fd809-f008-43f9-b696-8e595fdee429	Tibetan Singing	38
119	ba0ca2ea-052a-4fc8-b30d-8b16a91bf1cd	Tibetan Singing	63
119	a379200e-4cb1-4d04-a30f-2b36660f1572	Tibetan Singing	41
119	f62f762c-f5fa-416c-9ee0-e0ef880e0ab6	Tibetan Singing	37
119	ec7fd809-f008-43f9-b696-8e595fdee429	Tibetan Singing	90
119	ba0ca2ea-052a-4fc8-b30d-8b16a91bf1cd	Tibetan Singing	19
119	50fd6521-174d-4231-b075-b9c6d6f9c533	Tibetan Singing	19
119	fbe1519f-caf6-488b-bc3b-86eaad4534ad	Tibetan Singing	1
119	f820588b-9829-4502-a96d-fc520862aac2	Tibetan Singing	74
119	f80ccdf9-c952-408c-b94f-5b5e18addb31	Tibetan Singing	81
119	93915a50-5c23-4dd7-a1c2-28325e05f065	Tibetan Singing	9
119	752178c5-1bbe-4b2e-88d8-94ff0308c39c	Tibetan Singing	3
120	4b653302-bcbc-4a8e-ae1d-5df40d2df6ae	Om Mantra	90
120	4a5bb9b8-62c1-4583-90bd-d496d0bb7345	Om Mantra	10
120	f62f762c-f5fa-416c-9ee0-e0ef880e0ab6	Om Mantra	39
120	4a5bb9b8-62c1-4583-90bd-d496d0bb7345	Om Mantra	4
120	1a73a1ce-a310-47c3-8134-f35f67fd8dd8	Om Mantra	99
120	fc2caefe-04b0-4f3c-9202-55e823533deb	Om Mantra	80
120	e1924e41-3205-49ef-955f-3e75d9baf897	Om Mantra	48
120	f80ccdf9-c952-408c-b94f-5b5e18addb31	Om Mantra	40
120	fe21a6a0-9772-4f01-b06d-f67e2c09ce10	Om Mantra	31
120	e1924e41-3205-49ef-955f-3e75d9baf897	Om Mantra	80
120	32725917-b821-48d6-97c6-16b123b905bd	Om Mantra	29
120	8726387e-974b-4f94-8a62-7716dc3b1252	Om Mantra	87
121	f80ccdf9-c952-408c-b94f-5b5e18addb31	Positive Mantra	75
121	f80ccdf9-c952-408c-b94f-5b5e18addb31	Positive Mantra	22
121	ba0ca2ea-052a-4fc8-b30d-8b16a91bf1cd	Positive Mantra	8
121	fd705857-b301-44c9-b24c-496c8339ff70	Positive Mantra	14
121	8726387e-974b-4f94-8a62-7716dc3b1252	Positive Mantra	82
121	50fd6521-174d-4231-b075-b9c6d6f9c533	Positive Mantra	44
121	49722cd1-23d4-459a-9555-2ba4b1bead37	Positive Mantra	38
121	8543829d-0ab0-4d9a-acc8-be4583ab9f5a	Positive Mantra	4
121	fbe1519f-caf6-488b-bc3b-86eaad4534ad	Positive Mantra	1
121	f820588b-9829-4502-a96d-fc520862aac2	Positive Mantra	62
121	fc2caefe-04b0-4f3c-9202-55e823533deb	Positive Mantra	77
121	fbe1519f-caf6-488b-bc3b-86eaad4534ad	Positive Mantra	31
121	93915a50-5c23-4dd7-a1c2-28325e05f065	Positive Mantra	28
122	49722cd1-23d4-459a-9555-2ba4b1bead37	Hang Drum	58
122	fd705857-b301-44c9-b24c-496c8339ff70	Hang Drum	32
122	037513a0-605c-45fb-ae06-8f76f1034fb6	Hang Drum	9
122	4b653302-bcbc-4a8e-ae1d-5df40d2df6ae	Hang Drum	50
122	058d8041-122e-4c74-8398-f7e975b6f4a9	Hang Drum	92
122	f80ccdf9-c952-408c-b94f-5b5e18addb31	Hang Drum	50
122	037513a0-605c-45fb-ae06-8f76f1034fb6	Hang Drum	83
